epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,535.484,1.43917,1.83245,2.11193,1.37622,0.50824,0.37362,0.35994,0.20099,0.44364,0.32141,0.28646,0.09781,1.67899,1.92334,2.27649,1.59844,0.0677265,0.000998148,0.000998148
2,901.364,1.48576,1.83123,1.92695,1.41692,0.62793,0.41663,0.46831,0.30427,0.54028,0.36079,0.35678,0.13096,1.42695,1.85704,1.82532,1.37544,0.035393,0.00199796,0.00199796
3,1109.92,1.3726,1.7385,1.70411,1.33712,0.64118,0.49757,0.56878,0.38388,0.58215,0.45254,0.48093,0.17495,1.30662,1.58712,1.59721,1.32608,0.00305876,0.00299703,0.00299703
4,1308.3,1.2865,1.613,1.5621,1.29103,0.75351,0.59064,0.68049,0.47323,0.70706,0.56611,0.61391,0.23746,1.10898,1.49301,1.20251,1.1675,0.00299748,0.00299748,0.00299748
5,1555.03,1.17798,1.54982,1.39014,1.21373,0.76717,0.64867,0.73502,0.52006,0.70596,0.60336,0.64088,0.24771,1.08591,1.47061,1.14539,1.17177,0.00299553,0.00299553,0.00299553
6,1785,1.11673,1.48083,1.27071,1.18015,0.80461,0.69221,0.78948,0.57447,0.78226,0.66583,0.74253,0.30797,0.9858,1.35682,1.01808,1.12066,0.00299302,0.00299302,0.00299302
7,2006.66,1.05448,1.41977,1.18117,1.14183,0.76545,0.67018,0.74587,0.53519,0.73117,0.62909,0.68068,0.28226,1.05166,1.41176,1.09248,1.14097,0.00298995,0.00298995,0.00298995
8,2183.53,1.02669,1.37974,1.128,1.12687,0.78752,0.72907,0.80523,0.5959,0.75704,0.70073,0.75324,0.32975,0.95047,1.24794,0.91302,1.07304,0.00298632,0.00298632,0.00298632
9,2369.77,0.98197,1.35421,1.08287,1.10139,0.77991,0.76951,0.8467,0.63852,0.76632,0.74912,0.80876,0.34809,0.89342,1.27362,0.87421,1.07102,0.00298214,0.00298214,0.00298214
10,2552.77,0.96059,1.34932,1.02882,1.09173,0.78369,0.67363,0.79572,0.58746,0.76434,0.64936,0.74896,0.32526,0.9521,1.30298,0.983,1.08872,0.00297742,0.00297742,0.00297742
11,2742.07,0.9343,1.30263,0.95888,1.07345,0.83765,0.71506,0.81701,0.62962,0.77524,0.73076,0.78268,0.34194,0.859,1.2616,0.83772,1.04296,0.00297214,0.00297214,0.00297214
12,2908.14,0.90979,1.28502,0.95315,1.05498,0.86659,0.75881,0.86682,0.67878,0.84666,0.74125,0.83407,0.37473,0.81588,1.1823,0.73601,1.0022,0.00296631,0.00296631,0.00296631
13,3080.92,0.90784,1.2883,0.94216,1.05539,0.84609,0.78104,0.8551,0.66132,0.83019,0.76409,0.82427,0.38036,0.82618,1.13651,0.76085,1.01566,0.00295994,0.00295994,0.00295994
14,3263.84,0.8675,1.24285,0.88974,1.03205,0.85785,0.76499,0.86664,0.68478,0.79487,0.79536,0.8418,0.40123,0.76936,1.1206,0.736,0.97923,0.00295303,0.00295303,0.00295303
15,3448.22,0.84475,1.22026,0.86112,1.01125,0.87413,0.84089,0.90329,0.70746,0.86137,0.80834,0.87036,0.41428,0.78057,1.13062,0.68055,0.98762,0.00294558,0.00294558,0.00294558
16,3630.58,0.84976,1.20894,0.84282,1.01642,0.85184,0.80522,0.8754,0.6844,0.84847,0.76244,0.84751,0.40214,0.80878,1.13845,0.73305,0.99612,0.0029376,0.0029376,0.0029376
17,3818.36,0.82568,1.18831,0.80142,1.01541,0.86959,0.83623,0.90654,0.71927,0.85219,0.82033,0.87749,0.41891,0.74906,1.0925,0.68797,0.97181,0.00292908,0.00292908,0.00292908
18,3988.6,0.81896,1.18154,0.81595,1.00347,0.85614,0.86196,0.90474,0.72192,0.84606,0.8474,0.88253,0.41519,0.75424,1.0625,0.64703,0.96313,0.00292003,0.00292003,0.00292003
19,4151.01,0.80811,1.1735,0.80193,0.99567,0.91658,0.80632,0.91095,0.72916,0.89884,0.79062,0.88954,0.4225,0.75054,1.08458,0.6311,0.96382,0.00291047,0.00291047,0.00291047
20,4313.54,0.7895,1.17338,0.77565,0.98344,0.90561,0.85911,0.92155,0.74569,0.89168,0.83878,0.8946,0.43467,0.71639,1.05678,0.5811,0.93968,0.00290038,0.00290038,0.00290038
21,4478.76,0.7649,1.12894,0.72271,0.9771,0.90437,0.85525,0.93116,0.74934,0.88909,0.82739,0.89754,0.44734,0.71398,1.02371,0.58208,0.94603,0.00288977,0.00288977,0.00288977
22,4647.92,0.78108,1.13648,0.745,0.98374,0.89461,0.85279,0.91242,0.73714,0.8784,0.84027,0.89043,0.4379,0.73942,1.08206,0.60702,0.96637,0.00287865,0.00287865,0.00287865
23,4815.83,0.76542,1.14447,0.73772,0.97331,0.92197,0.85162,0.92564,0.76208,0.90968,0.83854,0.90324,0.43691,0.66763,1.04267,0.57617,0.92091,0.00286703,0.00286703,0.00286703
24,4978.94,0.75362,1.10998,0.72903,0.96422,0.91787,0.85145,0.93122,0.75848,0.90307,0.83829,0.90632,0.44452,0.69045,1.00597,0.56782,0.93539,0.00285491,0.00285491,0.00285491
25,5142.9,0.74603,1.10048,0.70027,0.96451,0.91448,0.87743,0.93436,0.76803,0.9037,0.86606,0.9177,0.44872,0.66433,1.00142,0.55727,0.92757,0.00284229,0.00284229,0.00284229
26,5307.2,0.74586,1.10571,0.69368,0.96247,0.9343,0.85866,0.93335,0.77222,0.92829,0.856,0.92219,0.46264,0.66031,0.97197,0.52885,0.92849,0.00282918,0.00282918,0.00282918
27,5492.12,0.73438,1.09623,0.67916,0.96133,0.91291,0.8871,0.94203,0.77017,0.89537,0.86455,0.91252,0.46619,0.66261,0.97741,0.5342,0.92456,0.00281559,0.00281559,0.00281559
28,5662.23,0.72552,1.10224,0.69201,0.95152,0.93391,0.90109,0.94538,0.79282,0.9278,0.8912,0.93387,0.47041,0.63233,0.97035,0.48712,0.91554,0.00280152,0.00280152,0.00280152
29,5822.25,0.70943,1.04697,0.64027,0.9462,0.92079,0.90154,0.94982,0.7898,0.91045,0.88829,0.93675,0.47339,0.64153,0.9666,0.48627,0.91569,0.00278697,0.00278697,0.00278697
30,5995.16,0.71408,1.08142,0.66079,0.94878,0.94457,0.90012,0.95221,0.78673,0.93384,0.88372,0.93693,0.47148,0.66022,0.97959,0.49739,0.91057,0.00277197,0.00277197,0.00277197
31,6157.05,0.69536,1.06109,0.63467,0.9359,0.95706,0.91079,0.95739,0.81306,0.93289,0.90444,0.94035,0.47397,0.60163,0.94541,0.44946,0.88788,0.0027565,0.0027565,0.0027565
32,6322.03,0.69231,1.05579,0.61207,0.93584,0.94201,0.89436,0.95165,0.80964,0.93031,0.88465,0.93832,0.48054,0.61292,0.93712,0.4763,0.88965,0.00274058,0.00274058,0.00274058
33,6489.32,0.69569,1.04025,0.61588,0.94366,0.96728,0.89824,0.95122,0.81553,0.9614,0.88982,0.94385,0.48714,0.58844,0.9266,0.45467,0.89331,0.00272421,0.00272421,0.00272421
